epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
208,1.0,0.28125,1.0,0.1015625,1.0,0.1640625
209,1.0,0.359375,1.0,0.15625,1.0,0.203125
210,1.0,0.34375,1.0,0.1484375,0.9453125,0.203125
211,1.0,0.3515625,0.96875,0.140625,0.9921875,0.1484375
212,1.0,0.3984375,1.0,0.1953125,0.9921875,0.140625
213,0.96875,0.3359375,1.0,0.1953125,1.0,0.140625
214,1.0,0.3125,1.0,0.1796875,1.0,0.21875
215,1.0,0.359375,1.0,0.15625,0.9921875,0.171875
216,1.0,0.34375,1.0,0.203125,1.0,0.203125
217,1.0,0.390625,1.0,0.109375,1.0,0.21875
218,1.0,0.3984375,1.0,0.1640625,1.0,0.1875
219,1.0,0.3515625,1.0,0.1953125,1.0,0.1953125
220,0.9921875,0.421875,1.0,0.1328125,1.0,0.2734375
221,1.0,0.3359375,1.0,0.109375,1.0,0.3046875
222,1.0,0.359375,1.0,0.1796875,0.9921875,0.2109375
223,1.0,0.46875,0.9921875,0.2578125,1.0,0.1875
224,1.0,0.375,1.0,0.1953125,0.9765625,0.234375
225,1.0,0.359375,0.953125,0.171875,0.7890625,0.2109375
226,0.9921875,0.3515625,0.0,0.109375,1.0,0.140625
227,0.7109375,0.390625,0.0859375,0.1328125,0.6953125,0.15625
228,0.7421875,0.3515625,0.8359375,0.21875,1.0,0.125
229,0.75,0.2734375,0.7265625,0.2734375,1.0,0.1171875
230,0.8671875,0.3984375,0.828125,0.1953125,1.0,0.21875
231,0.7421875,0.328125,0.875,0.1171875,1.0,0.15625
232,0.8515625,0.4375,0.8359375,0.2109375,1.0,0.234375
233,0.875,0.3359375,0.890625,0.1796875,0.984375,0.21875
234,0.8984375,0.328125,0.953125,0.1640625,0.984375,0.1796875
235,0.8125,0.3671875,0.8046875,0.1875,1.0,0.21875
236,0.7890625,0.2734375,0.8671875,0.1640625,1.0,0.15625
237,0.8046875,0.3359375,0.8359375,0.203125,0.9921875,0.125
238,0.859375,0.4296875,0.9140625,0.1796875,0.9609375,0.203125
239,0.8515625,0.3046875,0.84375,0.265625,0.984375,0.171875
240,0.90625,0.4375,0.9375,0.25,0.9453125,0.203125
241,0.8046875,0.3359375,0.8046875,0.234375,0.9453125,0.15625
242,0.8359375,0.390625,0.8671875,0.2578125,0.9921875,0.1171875
243,0.890625,0.359375,0.921875,0.2265625,0.6640625,0.2265625
244,0.9453125,0.2890625,0.9453125,0.1171875,1.0,0.1171875
245,0.9140625,0.3671875,0.9375,0.1875,1.0,0.09375
246,0.859375,0.4453125,0.7890625,0.1953125,0.8515625,0.1640625
247,0.78125,0.296875,0.9296875,0.1484375,0.9609375,0.1640625
