epoch,d_loss,g_loss,psnr
572,-866.9378051757812,1486.1259765625,7.50442900459722
573,-624.8641357421875,1126.4892578125,7.0297775215813365
574,-321.40582275390625,1041.8338623046875,6.972712574007449
575,-354.5506896972656,1131.327392578125,6.7913772062204405
576,-354.5506896972656,1131.327392578125,7.400837510033914
577,-651.6129760742188,1221.8585205078125,7.550905580585855
578,-677.4754028320312,1140.968505859375,6.9398652930465845
579,-20.59130859375,902.4763793945312,7.012345393898862
580,-285.3182373046875,1526.3817138671875,6.809003080643414
581,-370.8284912109375,1209.240966796875,6.961262098444799
582,-497.449951171875,1323.3857421875,7.275873248467207
583,-425.1989440917969,1320.6690673828125,6.668790711077372
584,-425.1989440917969,1320.6690673828125,7.390678414739912
585,-483.62030029296875,1171.6693115234375,7.376069139888486
586,-751.438720703125,1618.173095703125,7.21846078495577
587,-408.05859375,1341.71630859375,6.598389564150003
588,637.7099609375,662.8538208007812,6.5868267530296105
589,-562.6063232421875,1229.55419921875,6.722599660588258
590,-625.2120361328125,1102.86181640625,6.080044310636642
591,-775.4652099609375,1273.151611328125,6.370355000028746
592,-775.4652099609375,1273.151611328125,7.038802305677947
593,-678.0213623046875,1470.02392578125,6.686119966569237
594,-226.900146484375,1134.68408203125,6.559133686183265
595,-643.046630859375,1270.937744140625,6.348249477012333
596,-765.3199462890625,1482.745849609375,6.545908420524729
597,-875.0775756835938,1427.64453125,6.545349002992351
598,-918.5823974609375,1594.898681640625,6.724390680462999
599,-15.0850830078125,1137.0416259765625,7.52941417048672
600,-15.0850830078125,1137.0416259765625,7.721851010333336
601,-884.5524291992188,1301.516845703125,7.271969561422262
602,-703.4356079101562,1426.88427734375,7.529225482767165
603,-950.285400390625,1894.516845703125,7.645540953359634
604,-813.858642578125,1238.0008544921875,7.359311934651325
605,-936.129150390625,1407.0625,7.5231888732282535
606,-935.8575439453125,1545.838134765625,7.072064125398256
607,-937.804931640625,1440.31689453125,7.018179708058463
608,-937.804931640625,1440.31689453125,7.247571719149974
609,-920.8800659179688,2055.45751953125,8.054094217833075
610,-967.3056030273438,1757.0704345703125,7.651671785499774
611,-803.6510009765625,1823.12451171875,8.117182456804237
612,-391.80413818359375,937.6740112304688,7.738530889897101
613,-1019.8800048828125,1698.641357421875,7.526910969913968
614,-977.9014892578125,1829.908935546875,7.373606805797403
615,-970.3641967773438,1603.3115234375,7.1386385328536335
616,-970.3641967773438,1603.3115234375,7.950868211022433
617,514.52294921875,458.9625549316406,7.408043279747948
618,-584.1793823242188,2056.276123046875,7.829082310813895
619,-312.61663818359375,1569.03271484375,7.510049993363425
620,-1019.3970947265625,1492.9970703125,7.462625648163739
621,-944.7852783203125,1892.092041015625,7.612561153584475
622,484.53961181640625,679.4588623046875,7.851120650194413
623,-203.4510498046875,823.8526611328125,7.965813747686175
624,-203.4510498046875,823.8526611328125,7.163168478263082
625,-1004.9270629882812,1461.083740234375,6.89969427283232
626,-718.3006591796875,1575.1597900390625,7.9418896566191535
627,-101.45770263671875,1103.32861328125,7.957732201174741
628,-894.135009765625,1247.770263671875,7.704238126189685
629,-596.7630004882812,1670.1328125,7.674992882737849
630,-829.897216796875,1601.328125,7.466035467616301
631,-1076.65625,1652.027587890625,7.71620325657387
632,-1076.65625,1652.027587890625,7.968406086485869
633,-862.4849853515625,1132.755126953125,8.042741088512432
634,-1137.738037109375,1719.1298828125,7.8452807040651695
635,-804.7311401367188,2078.241455078125,7.524865965742784
636,-1163.50439453125,1462.6546630859375,8.152701730217057
637,-864.0195922851562,1862.528564453125,8.031338182776922
638,-1205.1964111328125,1740.153564453125,7.469906204658928
639,-1064.519775390625,1595.1749267578125,7.598011471427508
640,-1064.519775390625,1595.1749267578125,8.021235729003958
641,-26.8682861328125,1014.20703125,7.035840687373182
642,-553.72705078125,96.4702377319336,7.430764347620425
643,530.6553955078125,-6.288095474243164,7.989626758583314
644,532.999267578125,141.0330810546875,7.327128788861267
645,-30.46356201171875,183.37454223632812,7.132167089787408
646,-44.4803466796875,138.75909423828125,6.76288647491572
647,-145.31857299804688,213.30526733398438,6.839579690828294
648,-145.31857299804688,213.30526733398438,7.57088522557072
649,-188.16726684570312,305.1435852050781,6.6716021493821245
650,-272.7845458984375,481.53521728515625,6.642031749088858
651,-423.59173583984375,650.041748046875,6.10049056914424
652,-761.357177734375,1546.460205078125,5.819568637535432
653,-1119.1866455078125,1699.003173828125,6.005815743375905
654,-1133.79638671875,2051.1533203125,6.384417704476755
655,-844.1234130859375,1606.375,6.207974689494287
656,-844.1234130859375,1606.375,7.316893787734684
657,-1054.3272705078125,1947.86669921875,7.404747384183309
658,-551.6524658203125,2126.315185546875,7.282127839808425
659,-625.589599609375,1609.808837890625,6.79996778357066
660,-1135.105712890625,2318.61669921875,6.953292638762667
661,-1368.866943359375,2573.3828125,6.899074387004882
662,-755.7086181640625,2224.24951171875,7.119686467225462
663,-1240.218994140625,2018.4495849609375,7.178793281937255
664,-1240.218994140625,2018.4495849609375,7.8125968184558765
