epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
285,0.984375,0.828125,1.0,0.203125,0.09375,0.15625,0.140625
286,0.984375,0.796875,1.0,0.21875,0.171875,0.171875,0.09375
287,0.953125,0.890625,1.0,0.1875,0.328125,0.171875,0.109375
288,1.0,0.796875,1.0,0.078125,0.15625,0.140625,0.125
289,1.0,0.78125,1.0,0.171875,0.0625,0.15625,0.21875
290,0.96875,0.625,1.0,0.15625,0.21875,0.21875,0.125
291,1.0,0.78125,1.0,0.265625,0.140625,0.109375,0.140625
292,0.984375,0.8125,1.0,0.1875,0.265625,0.15625,0.140625
293,1.0,0.78125,1.0,0.1875,0.046875,0.125,0.15625
294,0.96875,0.75,1.0,0.15625,0.078125,0.203125,0.125
295,0.984375,0.90625,1.0,0.125,0.109375,0.1875,0.109375
296,0.984375,0.765625,1.0,0.09375,0.03125,0.203125,0.171875
297,1.0,0.75,1.0,0.109375,0.015625,0.140625,0.125
298,0.9375,0.8125,1.0,0.203125,0.4375,0.171875,0.109375
299,1.0,0.8125,1.0,0.234375,0.171875,0.09375,0.171875
300,0.984375,0.8125,1.0,0.15625,0.078125,0.171875,0.1875
301,0.953125,0.71875,1.0,0.09375,0.046875,0.171875,0.0625
302,0.984375,0.75,1.0,0.203125,0.140625,0.15625,0.09375
303,1.0,0.859375,1.0,0.1875,0.03125,0.171875,0.125
304,1.0,0.734375,1.0,0.234375,0.03125,0.21875,0.109375
305,1.0,0.78125,1.0,0.21875,0.0625,0.15625,0.109375
306,0.984375,0.78125,1.0,0.1875,0.25,0.15625,0.140625
307,0.984375,0.78125,1.0,0.15625,0.25,0.25,0.140625
308,1.0,0.71875,1.0,0.265625,0.0625,0.109375,0.15625
309,0.984375,0.828125,1.0,0.109375,0.09375,0.125,0.0625
310,0.984375,0.78125,1.0,0.171875,0.109375,0.15625,0.21875
311,0.984375,0.78125,1.0,0.234375,0.078125,0.15625,0.140625
312,0.96875,0.828125,1.0,0.140625,0.125,0.1875,0.203125
313,1.0,0.796875,1.0,0.234375,0.0625,0.15625,0.15625
